battle;article;date;state;outcome;start_date;victory;battle_location
Battles of Lexington and Concord;https://en.wikipedia.org/wiki/Battles_of_Lexington_and_Concord;April 19, 1775;Massachusetts;Patriot victory: British forces raiding Concord driven back into Boston with heavy losses.;1775-04-19;Patriot victory;42.4496388889, -71.2308333333
First Siege of Fort Henry;https://en.wikipedia.org/wiki/Siege_of_Fort_Henry_(1777);;Virginia;Patriot victory;;Patriot victory;40.0638888889, -80.725
Battle of Freeman's Farm;https://en.wikipedia.org/wiki/Battles_of_Saratoga;September 19, 1777;New York;British tactical victory: First of the two Battles of Saratoga.;1777-09-19;;42.9988888889, -73.6375
Siege of Augusta;https://en.wikipedia.org/wiki/Siege_of_Augusta;;Georgia;Patriot victory;;Patriot victory;33.4666666667, -81.9666666667
Battle of Videau's Bridge;https://en.wikipedia.org/wiki/Battle_of_Videau%27s_Bridge;January 2, 1782;South Carolina;British victory;1782-01-02;British victory;
Mount Hope Bay raids;https://en.wikipedia.org/wiki/Mount_Hope_Bay_raids;May 25-30, 1778;Rhode Island;British victory;1778-05-25;British victory;41.694, -71.216
Capture of Savannah;https://en.wikipedia.org/wiki/Capture_of_Savannah;December 29, 1778;Georgia;British victory;1778-12-29;British victory;32.0508333333, -81.1038888889
Grand Assault on Gibraltar;https://en.wikipedia.org/wiki/Great_Siege_of_Gibraltar;September 13, 1782;Gibraltar;British victory;1782-09-13;British victory;36.1397, -5.3551
Second Battle of Ushant;https://en.wikipedia.org/wiki/Battle_of_Ushant_(1781);December 12, 1781;Bay of Biscay;British victory;1781-12-12;British victory;
Siege of Yorktown;https://en.wikipedia.org/wiki/Siege_of_Yorktown;;Virginia;Franco-Patriot victory: Cornwallis surrenders his force of over 7,000.;;Patriot victory;37.2391666667, -76.5105555556
Capture of Demerara and Essequibo;https://en.wikipedia.org/wiki/Capture_of_Demerara_and_Essequibo;;Demerara and Essequibo;Franco-Patriot victory;;Patriot victory;6.8, -58.1666666667
Crawford expedition;https://en.wikipedia.org/wiki/Crawford_expedition;;Quebec;British-Iroquois victory;;;
Capture of Fort Bute;https://en.wikipedia.org/wiki/Capture_of_Fort_Bute;September 7, 1779;West Florida;Patriot-Spanish victory;1779-09-07;;30.3236111111, -91.1369444444
Battle of White Marsh;https://en.wikipedia.org/wiki/Battle_of_White_Marsh;December 5-8, 1777;Pennsylvania;Patriot victory.;1777-12-05;Patriot victory;40.126, -75.212
Siege of Boonesborough;https://en.wikipedia.org/wiki/Siege_of_Boonesborough;September 7, 1778;Virginia;Patriot victory;1778-09-07;Patriot victory;37.9083333333, -84.2719444444
Battle of Groton Heights;https://en.wikipedia.org/wiki/Battle_of_Groton_Heights;September 6, 1781;Connecticut;British victory;1781-09-06;British victory;41.3566666667, -72.0819444444
Tryon's raid;https://en.wikipedia.org/wiki/Tryon%27s_raid;July 5-14, 1779;Connecticut;British victory;;British victory;41.31, -72.9236111111
Battle of Baton Rouge;https://en.wikipedia.org/wiki/Battle_of_Baton_Rouge_(1779);September 20-21, 1779;West Florida;Patriot-Spanish victory;1779-09-20;;30.45, -91.1333
Battle of Turtle Gut Inlet;https://en.wikipedia.org/wiki/Battle_of_Turtle_Gut_Inlet;June 29, 1776;New Jersey;Patriot victory;1776-06-29;Patriot victory;38.9583333333, -74.8416666667
Battle of Guilford Court House;https://en.wikipedia.org/wiki/Battle_of_Guilford_Court_House;March 15, 1781;North Carolina;British victory;1781-03-15;British victory;36.132, -79.844
Battle of Green Spring;https://en.wikipedia.org/wiki/Battle_of_Green_Spring;July 6, 1781;Virginia;British victory;1781-07-06;British victory;
Capture of Fort Ticonderoga;https://en.wikipedia.org/wiki/Capture_of_Fort_Ticonderoga;May 10, 1775;New York;Patriot victory: Patriots capture British posts at Ticonderoga and Crown point;1775-05-10;Patriot victory;43.8413888889, -73.3880555556
Battle of Bunker Hill;https://en.wikipedia.org/wiki/Battle_of_Bunker_Hill;June 17, 1775;Massachusetts;British victory: British drive Patriot army from the Charleston peninsula near Boston but suffer heavy losses.;1775-06-17;British victory;42.3763611111, -71.0607777778
Battle of Valcour Island;https://en.wikipedia.org/wiki/Battle_of_Valcour_Island;October 11, 1776;New York;British victory: British defeat Patriot naval force on Lake Champlain, but victory comes too late to press the offensive against the Hudson valley.;1776-10-11;British victory;44.6105111111, -73.4303861111
Battle of Crooked Billet;https://en.wikipedia.org/wiki/Battle_of_Crooked_Billet;May 1, 1778;Pennsylvania;British victory;1778-05-01;British victory;40.171, -75.109
Battle of the Black River;https://en.wikipedia.org/wiki/Battle_of_the_Black_River;;Guatemala;British victory;;British victory;15.9462, -84.9299
Battle of Millstone;https://en.wikipedia.org/wiki/Battle_of_Millstone;January 20, 1777;New Jersey;Patriot victory;1777-01-20;Patriot victory;40.5388888889, -74.5933333333
Battle of Connecticut Farms;https://en.wikipedia.org/wiki/Battle_of_Connecticut_Farms;June 7, 1780;New Jersey;British victory;1780-06-07;British victory;40.6951, -74.2734
Battle of Pekowee;https://en.wikipedia.org/wiki/Battle_of_Pekowee;August 8, 1780;Quebec;Patriot victory;1780-08-08;Patriot victory;
Battle of the Rice Boats;https://en.wikipedia.org/wiki/Battle_of_the_Rice_Boats;March 2-3, 1776;Georgia;British victory;1776-03-02;British victory;32.0812666667, -81.0857972222
Battle of Ridgefield;https://en.wikipedia.org/wiki/Battle_of_Ridgefield;April 27, 1777;Connecticut;British victory;1777-04-27;British victory;41.3052777778, -73.5013888889
Battle of Kettle Creek;https://en.wikipedia.org/wiki/Battle_of_Kettle_Creek;February 14, 1779;Georgia;Patriot victory;1779-02-14;Patriot victory;33.690796, -82.884563
Battle of Brier Creek;https://en.wikipedia.org/wiki/Battle_of_Brier_Creek;March 3, 1779;Georgia;British victory;1779-03-03;British victory;32.811631, -81.482829
Bird's invasion of Kentucky;https://en.wikipedia.org/wiki/Bird%27s_invasion_of_Kentucky;;Virginia;British victory;;British victory;37.6166666667, -83.45
Huck's Defeat;https://en.wikipedia.org/wiki/Huck%27s_Defeat;July 12, 1780;South Carolina;Patriot victory;1780-07-12;Patriot victory;34.8652277778, -81.1756194444
Battle of Fishdam Ford;https://en.wikipedia.org/wiki/Battle_of_Fishdam_Ford;November 9, 1780;South Carolina;Patriot victory;1780-11-09;Patriot victory;34.5950638889, -81.4196361111
Siege of Cuddalore;https://en.wikipedia.org/wiki/Siege_of_Cuddalore;June 7-25, 1783;India;Indecisive, resolved after the Peace treaty;;;11.75, 79.75
Battle of St. Lucia;https://en.wikipedia.org/wiki/Battle_of_St._Lucia;December 15, 1778;St. Lucia;British victory;1778-12-15;British victory;
Gnadenhutten massacre;https://en.wikipedia.org/wiki/Gnadenh%C3%BCtten_massacre;March 8, 1782;Quebec;;1782-03-08;;40.3541666667, -81.435
Second Battle of Trenton;https://en.wikipedia.org/wiki/Second_Battle_of_Trenton;January 2, 1777;New Jersey;Patriot victory;1777-01-02;Patriot victory;40.2216666667, -74.7561111111
Battle of Hobkirk's Hill;https://en.wikipedia.org/wiki/Battle_of_Hobkirk%27s_Hill;April 25, 1781;South Carolina;British victory;1781-04-25;British victory;34.2744444444, -80.6072222222
Battle of Machias;https://en.wikipedia.org/wiki/Battle_of_Machias;June 11-12, 1775;Massachusetts;Patriot forces capture the HM schooner Margaretta;1775-06-11;;44.71405, -67.4608611111
Battle of Trincomalee;https://en.wikipedia.org/wiki/Battle_of_Trincomalee;;Ceylon;French victory;;;8.54910833333, 81.2377166667
Battle of Little Mountain;https://en.wikipedia.org/wiki/Battle_of_Little_Mountain;March 22, 1782;Virginia;British-Iroquois victory;1782-03-22;;
Capture of Saint Vincent;https://en.wikipedia.org/wiki/Capture_of_Saint_Vincent;June 16-18, 1779;St. Vincent;French victory;1779-06-16;;13.25, -61.2
Battle of Cape Spartel;https://en.wikipedia.org/wiki/Battle_of_Cape_Spartel;October 20, 1782;Morocco;Patriot victory;1782-10-20;Patriot victory;35.9257, -5.9109
Burning of Falmouth;https://en.wikipedia.org/wiki/Burning_of_Falmouth;October 18, 1775;Massachusetts;British burn Falmouth.;1775-10-18;;43.6547222222, -70.2536111111
Capture of Montserrat;https://en.wikipedia.org/wiki/Capture_of_Montserrat;February 22, 1782;Montserrat;French victory;1782-02-22;;16.75, -62.2
Battle of Musgrove Mill;https://en.wikipedia.org/wiki/Battle_of_Musgrove_Mill;August 18, 1780;South Carolina;Patriot victory;1780-08-18;Patriot victory;34.5935444444, -81.8524777778
Capture of the Turks and Caicos Islands;https://en.wikipedia.org/wiki/Capture_of_the_Turks_and_Caicos_Islands;March 9, 1783;Turks and Caicos Islands;French victory;1783-03-09;;21.6666666667, -72.4583333333
Action of 22 January 1783;https://en.wikipedia.org/wiki/Action_of_22_January_1783;January 22, 1783;Virginia;British victory;1783-01-22;British victory;37.0902388889, -76.1572277778
Second Battle of Machias;https://en.wikipedia.org/wiki/Battle_of_Machias_(1777);August 13-14, 1777;Massachusetts;British victory;1777-08-13;British victory;44.71405, -67.4608611111
Battle of Kemp's Landing;https://en.wikipedia.org/wiki/Battle_of_Kemp%27s_Landing;November 14, 1775;Virginia;British victory;1775-11-14;British victory;36.8269444444, -76.1602777778
Battle of Staten Island;https://en.wikipedia.org/wiki/Battle_of_Staten_Island;August 22, 1777;New York;British victory;1777-08-22;British victory;40.5762805556, -74.1448388889
Carleton's Raid;https://en.wikipedia.org/wiki/Carleton%27s_Raid_(1778);;Vermont;British victory;;British victory;
Battle of Blackstock's Farm;https://en.wikipedia.org/wiki/Battle_of_Blackstock%27s_Farm;November 20, 1780;South Carolina;Patriot victory;1780-11-20;Patriot victory;34.6793, -81.8124
Great Siege of Gibraltar;https://en.wikipedia.org/wiki/Great_Siege_of_Gibraltar;;Gibraltar;British victory;;British victory;36.1397, -5.3551
Battle of Oriskany;https://en.wikipedia.org/wiki/Battle_of_Oriskany;August 6, 1777;New York;British victory;1777-08-06;British victory;43.1766666667, -75.37
Battle of Gloucester;https://en.wikipedia.org/wiki/Battle_of_Gloucester_(1775);August 8, 1775;Massachusetts;Patriot victory;1775-08-08;Patriot victory;42.6064222222, -70.6637194444
